Number	Gender	GivenName	Surname	Birthday	Age	BloodType	Kilograms	Centimeters
1	male	Leigh	Mork	6/17/2015	2	O-	10.8	85
2	female	Paige	Ford	1/3/2004	14	A+	40.7	170
3	male	Walter	Figueroa	10/20/2005	12	B+	57.7	164
4	female	Rosie	Bradley	8/27/2001	16	O+	81	169
5	male	Andrew	Sergeyev	4/5/2004	13	O+	53.5	168
6	female	Margarita	Day	10/9/2014	3	B+	14.2	92
7	male	Ernest	Tokaryev	1/29/2008	9	A+	33.9	140
8	female	Alice	Tucker	9/6/2014	3	AB+	15.9	87
9	male	Ellis	Iqbal	3/26/2008	9	B+	28.1	129
10	female	Andrée	Monjeau	2/17/2010	7	AB+	21.2	112
11	female	Lolita	Lazareva	2/20/2001	16	AB+	68.3	163
12	female	Julienne	Clavet	2/17/2000	17	B+	79.1	161
13	male	David	Pearson	11/24/2010	7	O+	25.7	132
14	male	Makar	Voronkov	4/5/2010	7	O+	19.2	123
15	male	Bayard	Brian	1/10/2005	13	B+	66.1	146
16	male	Brigliador	Coupart	5/4/2017	0	O+	4.7	46
17	male	Grant	White	4/11/2007	10	B+	35.6	151
18	male	Brice	Neufville	7/6/2006	11	O-	30.4	151
19	female	Patricia	Moses	8/15/2008	9	O+	31	137
20	female	Glenna	Russo	3/17/2003	14	O+	64	149
21	male	Aubert	Lamoureux	9/15/2009	8	O+	32	136
22	male	George	Doyle	4/21/2013	4	A+	19.5	101
23	female	Lara	Wallace	10/16/2015	2	O+	9.9	83
24	female	Erin	Lord	8/11/2011	6	O-	26	115
25	male	Eugène	Daviau	10/14/2010	7	O+	26.4	112
26	male	Ildar	Evseyev	8/9/2014	3	A+	15.8	94
27	male	Robert	Francis	4/2/2016	1	O+	9.6	79
28	female	Albina	Shubina	5/3/2010	7	B+	21.3	113
29	male	Connor	Stevens	3/9/2016	1	B+	9.3	81
30	male	Bogdan	Alexandrov	4/13/2015	2	A+	10	86
31	male	Aubert	Aucoin	6/25/2002	15	O+	77.9	172
32	female	Isabelle	Arnold	1/29/2017	0	B+	2	45
33	female	Amorette	Audet	5/28/2016	1	A+	9	70
34	male	Iskander	Sokolov	9/8/2001	16	A+	71.9	187
35	female	Faith	Swift	12/4/2010	7	B+	31.6	123
36	male	Farid	Aliyev	2/28/2014	3	O-	16.1	95
37	female	Fifine	Busson	6/6/2005	12	A+	37.6	154
38	female	Inessa	Ershova	3/20/2005	12	O-	30.8	163
39	male	Adam	Wall	11/17/2005	12	O+	49.4	152
40	male	Roy	Jenkins	2/10/2013	4	O+	15.8	99
41	female	Raison	Sorel	11/18/2014	3	O+	14	98
42	female	Logistilla	Laforest	2/14/2004	13	O+	47	144
43	male	Peter	Ingram	4/1/2000	17	O+	81.9	162
44	female	Rice	Muravyova	12/5/2016	1	O+	10.1	69
45	male	Scott	Abbott	1/1/2015	3	O+	16.4	93
46	male	Richard	Olson	1/4/2001	17	O+	91.3	170
47	female	Avelaine	L'Hiver	9/21/2016	1	B+	11.4	73
